title,cuisine,city,address,rating
Ruth's Chris Steak House,Steakhouse,Manhattan,148 W. 51st St.,4.0
Sant Ambroeus - West Village,Italian,Manhattan,259 W. 4th St.,3.5
Sant Ambroeus SoHo,Italian,Manhattan,265 Lafayette St.,4.0
Sarabeth's Upper East Side,American New,Manhattan,1295 Madison Ave.,3.5
Sarabeth's Upper West Side,American New,Manhattan,423 Amsterdam Ave.,3.5
Sarabeth's Central Park South,American New,Manhattan,40 Central Park South,3.5
Sarabeth's Park Avenue South,American New,Manhattan,381 Park Ave. South,3.0
Sarabeth's Tribeca,American New,Manhattan,339 Greenwich St.,3.5
Saul,American New,Brooklyn,"Brooklyn Museum, 200 Eastern Parkway",3.5
Savore Ristorante,Italian,Manhattan,200 Spring St.,3.5
Sazón,Pan-Latin,Manhattan,105 Reade St.,3.5
Scaletta Ristorante,Italian,Manhattan,50 W. 77th St.,3.5
Scarpetta,Italian,Manhattan,355 W. 14th St.,4.0
SD26 Restaurant & Wine Bar,Italian,Manhattan,19 E. 26th St.,3.5
Shula's Steak House,Steakhouse,Manhattan,"Westin New York at Times Square, 270 W. 43rd St.",3.5
Shun Lee Palace,Chinese,Manhattan,155 E. 55th St.,3.5
Sirio Ristorante,Italian,Manhattan,795 Fifth Ave.,4.0
Smith & Wollensky,Steakhouse,Manhattan,797 Third Ave.,3.5
Smoke Jazz & Supper Club,American New,Manhattan,2751 Broadway,4.0
Socarrat Paella Bar - Chelsea,Spanish/Tapas,Manhattan,259 W. 19th St.,4.0
Socarrat Paella Bar - East,Spanish/Tapas,Manhattan,953 Second Ave.,4.0
Socarrat Paella Bar - Nolita,Spanish/Tapas,Manhattan,284 Mulberry St.,4.0
Sofrito,Pan-Latin,Manhattan,400 E. 57th St.,3.5
Southgate Bar & Restaurant,American New,Manhattan,"JW Marriott Essex House New York, 154 Central Park South",3.5
Spasso,American New,Manhattan,551 Hudson St.,4.0
Spice Market,Asian Fusion,Manhattan,403 W. 13th St.,3.5
State Grill and Bar,American New,Manhattan,"Empire State Building, 350 Fifth Ave. (enter on 33rd St.)",5.0
Stella 34 Trattoria,Italian,Manhattan,"Macy's Herald Square, 151 W. 34th St., 6th fl.",4.0
STK Midtown,Steakhouse,Manhattan,1114 Sixth Ave.,3.5
Strip House Midtown,Steakhouse,Manhattan,15 W. 44th St.,4.0
SushiSamba NYC West Village,Asian Fusion,Manhattan,87 Seventh Ave. South,3.5
T Bar Steak and Lounge,American New,Manhattan,1278 Third Ave.,3.5
Taboon,Mediterranean,Manhattan,773 Tenth Ave.,4.0
Tamarind Tribeca,Indian,Manhattan,99 Hudson St.,4.0
Tao Uptown,Pan-Asian,Manhattan,42 E. 58th St.,3.5
Tarallucci e Vino—Union Square,Italian,Manhattan,15 E. 18th St.,3.5
Tavern on the Green,American New,Manhattan,1 Tavern on the Green,3.0
Ted's Montana Grill,American Traditional,Manhattan,110 W. 51st St.,3.5
Telepan,American New,Manhattan,72 W. 69th St.,4.0
Tertulia,Spanish/Tapas,Manhattan,359 Sixth Ave.,3.5
Texas de Brazil,Brazilian,Manhattan,1011 Third Ave.,3.5
Thalassa Restaurant,Greek,Manhattan,179 Franklin St.,3.5
Thalia Restaurant,American New,Manhattan,828 Eighth Ave.,3.5
The Americano,French,Manhattan,"Hotel Americano, 518 W. 27th St.",3.5
The Back Room at One57,American New,Manhattan,"Park Hyatt New York, 153 W. 57th St., 3rd fl.",3.5
The Capital Grille Chrysler Center,Steakhouse,Manhattan,155 E. 42nd St.,4.0
The Capital Grille Time Life,Steakhouse,Manhattan,120 W. 51st St.,4.0
The Capital Grille Wall Street,Steakhouse,Manhattan,120 Broadway,4.0
The Cecil,African,Manhattan,210 W. 118th St.,4.0
The Den,American New,Manhattan,"Hyatt Herald Square New York, 30-32 W. 31st St.",4.5
The Fourth Restaurant,American New,Manhattan,132 Fourth Ave.,3.0
The Gander,American New,Manhattan,15 W. 18th St.,4.0
The Lambs Club Bar,American New,Manhattan,132 W. 44th St.,3.0
The Leopard at des Artistes,Italian,Manhattan,1 W. 67th St.,4.0
The Library at The Public,American New,Manhattan,"The Public Theater, 425 Lafayette St., mezzanine level",4.0
The Lion,American Traditional,Manhattan,62 W. 9th St.,3.5
The Morgan Dining Room,American New,Manhattan,225 Madison Ave.,4.0
The National Bar & Dining Rooms,American New,Manhattan,557 Lexington Ave.,3.0
The Peacock,British,Manhattan,24 E. 39th St.,4.0
The Red Cat,American New,Manhattan,227 Tenth Ave.,4.0
The Russian Tea Room,Continental,Manhattan,150 W. 57th St.,3.0
The Sea Grill,Seafood,Manhattan,19 W. 49th St.,3.5
The Stanton Social,American New,Manhattan,99 Stanton St.,4.0
The Strand Bistro,American New,Manhattan,33 W. 37th St.,3.5
The View Restaurant & Lounge,American New,Manhattan,"New York Marriott Marquis, 1535 Broadway",3.0
The Water Club,American Traditional,Manhattan,East River btwn. 23rd & 34th Sts.,3.5
The Wayfarer,American Traditional,Manhattan,101 W. 57th St.,3.5
The Writing Room,American New,Manhattan,1703 Second Ave.,4.0
Todd English Food Hall,American New,Manhattan,"1 W. 59th St., Concourse",3.5
Toloache,Mexican,Manhattan,251 W. 50th St.,4.0
Toloache Thompson,Mexican,Manhattan,205 Thompson St.,4.0
Tribeca Grill,American New,Manhattan,375 Greenwich St.,3.5
Triomphe Restaurant,French,Manhattan,"The Iroquois New York, 49 W. 44th St.",3.5
Tulsi,Indian,Manhattan,211 E. 46th St.,3.5
ViceVersa,Italian,Manhattan,325 W. 51st St.,3.5
Victor's Cafe,Cuban,Manhattan,236 W. 52nd St.,4.0
Villa Berulia,Italian,Manhattan,107 E. 34th St.,4.0
Water's Edge Restaurant,American New,Queens,401 44th Dr. at the East River,3.0
Yerba Buena,Pan-Latin,Manhattan,23 Ave. A,4.0
Yerba Buena Perry,Pan-Latin,Manhattan,1 Perry St.,4.0
Zengo,Asian Fusion,Manhattan,622 Third Ave.,3.5
Zio Ristorante,Italian,Manhattan,17 W. 19th St.,4.0
Pó,Italian,Manhattan,31 Cornelia St.,4.0
Catch NYC,Seafood,Manhattan,21 Ninth Ave.,3.5
